List Name,List Title,URL
BLSA,BLSA,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BLSA
BME-MS,BME-MS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BME-MS
BME-PHD,BME-PHD,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BME-PHD
BMES,BMES,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BMES
BMES-EXEC,BMES-EXEC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BMES-EXEC
BOARD_GAMES,Strategy(Board) Game Club,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BOARD_GAMES
BOBBMCC,BOBBMCC,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BOBBMCC
BOOTCAMP,bootcamp,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BOOTCAMP
BOT_UPDATES,Trustee contact information updates,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BOT_UPDATES
BOXOFFICE,BOXOFFICE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BOXOFFICE
BRADYFIVES,Brady Fives,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRADYFIVES
BRADYSCHOLARS13,The Brady Scholars Class of 2013,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRADYSCHOLARS13
BRAIN_AWARENESS,NU Brain Awareness Outreach,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRAIN_AWARENESS
BRASSQUINTET,Quintet Tarantino,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRASSQUINTET
BRAZIL-SECTION,BRAZIL SECTION OF THE LATIN AMERICAN STUDIES ASSOCIATION,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRAZIL-SECTION
BRIDGE,BRIDGE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRIDGE
BRISSON15,Brisson15,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BRISSON15
BROADBELT_GROUP,Linda Broadbelt Research Group,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BROADBELT_GROUP
BROOMBALL,BROOMBALL,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BROOMBALL
BSA,Biology Students Association,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSA
BSFSM-ALL,All Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-ALL
BSFSM-BIWEEKLY,Biweekly Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-BIWEEKLY
BSFSM-FACULTY,Faculty Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-FACULTY
BSFSM-POSTDOCS,PostDoc Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-POSTDOCS
BSFSM-SECONDARY,Secondary Faculty Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-SECONDARY
BSFSM-STUDENTS,Student Members of Basic Science Div.,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSFSM-STUDENTS
BSJ-11,BSJ-11,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSJ-11
BSJ-12,BSJ-12,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSJ-12
BSJ-13,BSJ-13,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSJ-13
BSSB,"Biotechnology, Systems and Synthetic Biology Cluster",https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSSB
BSSB_SYSCOMPBIO,Systems and Computational Biology discussion group,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BSSB_SYSCOMPBIO
BTP-PRECEPTOR,BTP-PRECEPTOR,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BTP-PRECEPTOR
BTPTRAINEE,BTPTRAINEE,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BTPTRAINEE
BYOR,Bring Yr Own Research,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BYOR
BYS,Bhakti Yoga Society (BYS),https://listserv.it.northwestern.edu/scripts/wa.exe?A0=BYS
C2S,C2S,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=C2S
C2S-LOCAL,C2S-LOCAL,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=C2S-LOCAL
CAAH,CAAH Mailing List,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAAH
CAESAR-REFERRAL,CAESAR-REFERRAL,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAESAR-REFERRAL
CAFE-PTE,Cafe Project Tools Enhancement,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE-PTE
CAFE-RPTG,Project Cafe Reporting Team,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE-RPTG
CAFE-SOC-MED,Cafe Social Media Workgroup,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE-SOC-MED
CAFECOLLABERATE,Cafe Collaberation Workgroup,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFECOLLABERATE
CAFETIER3,CAFETIER3,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFETIER3
CAFE_ALL_USERS,CAFE_ALL_USERS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE_ALL_USERS
CAFE_CENTRAL_OFCS,CAFE_CENTRAL_OFCS,https://listserv.it.northwestern.edu/scripts/wa.exe?A0=CAFE_CENTRAL_OFCS
